ENSID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,RNAlater.v.LN
ENSAMXG00000004953,22.3752540095822,-7.71899352761624,1.06760830844504,-7.23017371310913,4.82376610981326e-13,1.9063771038603e-10,Down
ENSAMXG00000017625,173.937641592205,1.31422099016366,0.182370633205511,7.20631917027274,5.74845746191199e-13,2.21502437151124e-10,Up
ENSAMXG00000005684,252.511569676111,1.87536760346163,0.261086056311697,7.18294814343792,6.82239831421075e-13,2.56472256626659e-10,Up
ENSAMXG00000009848,170.629990888144,-1.53187811918853,0.216226020776111,-7.08461504165908,1.39431343228808e-12,5.11679831710863e-10,Down
ENSAMXG00000009649,192.110238512899,2.23016771974819,0.315214697323311,7.07507530164668,1.49367629577981e-12,5.35396110391958e-10,Up
ENSAMXG00000006091,1216.30090039469,-1.19296233565738,0.168713786421563,-7.07092384659394,1.5390558824015e-12,5.35514405860956e-10,Down
ENSAMXG00000009417,101.778485494094,-2.1489755013464,0.304011215428793,-7.06873757376146,1.5634949888888e-12,5.35514405860956e-10,Down
ENSAMXG00000015960,438.854949557724,1.53890753801331,0.217850349437554,7.06405815729224,1.61709013079982e-12,5.41830656217773e-10,Up
ENSAMXG00000018257,275.129467775305,-1.31706632621742,0.186803810958413,-7.05053242468717,1.78234473500681e-12,5.8449530639702e-10,Down
ENSAMXG00000008239,165.512245716898,-2.17520186000222,0.309629785780216,-7.02516992840683,2.13805875860922e-12,6.86539575967581e-10,Down
ENSAMXG00000007206,17.310209116579,-7.34603519867174,1.05725090826777,-6.94824203150384,3.69866071309375e-12,1.16341750144722e-09,Down
ENSAMXG00000013478,79.0658055970355,2.97673307985423,0.429398674893422,6.93232945023192,4.13966488442477e-12,1.27609309727278e-09,Up
ENSAMXG00000003580,94.7104066337501,-2.31602751349265,0.336569933716154,-6.8812668081216,5.93226224604636e-12,1.79282270584926e-09,Down
ENSAMXG00000011827,105.616321896734,-1.77495909865467,0.258625050783986,-6.86305944947764,6.74011595642745e-12,1.97235707272792e-09,Down
ENSAMXG00000024711,60.5718089500683,-2.33782261461446,0.340682731588164,-6.86216939648278,6.78225685165639e-12,1.97235707272792e-09,Down
ENSAMXG00000007204,258.865533382692,-1.41703288115994,0.207664352535269,-6.82366936770852,8.87440013532092e-12,2.53298387566113e-09,Down
ENSAMXG00000003787,1418.27771413961,1.20788623677766,0.178657662317587,6.76089802759472,1.37139024402818e-11,3.84313415112842e-09,Up
ENSAMXG00000000710,1279.06271055688,-8.04239892913432,1.19050813900096,-6.75543380651164,1.42408513723476e-11,3.91954003932131e-09,Down
ENSAMXG00000000453,246.821526471622,-1.40408386746415,0.207944051213204,-6.75221945168583,1.45600420191248e-11,3.93708644983808e-09,Down
ENSAMXG00000019233,184.018788534094,-1.45729042189934,0.215978052913328,-6.74740049853189,1.50517388087886e-11,3.99986983206653e-09,Down
ENSAMXG00000021479,53.2954171007083,-3.48486769985243,0.516920241500309,-6.74159651736205,1.56655615765162e-11,4.09242882337024e-09,Down
ENSAMXG00000006691,18.2002903581615,-7.42321323287592,1.10373551451373,-6.7255362677592,1.74946908375455e-11,4.46293415730924e-09,Down
ENSAMXG00000014348,109.665619211491,-1.67462845135639,0.2490471373222,-6.72414254330446,1.76629457987325e-11,4.46293415730924e-09,Down
ENSAMXG00000018985,218.417094616693,2.76404530848653,0.412794990276373,6.69592745453611,2.14308026640106e-11,5.32762841065154e-09,Up
ENSAMXG00000014757,72.0830959466523,-2.2110174671052,0.33046515408115,-6.69062211189219,2.22223833599421e-11,5.43672372582202e-09,Down
ENSAMXG00000015965,171.046638851296,-1.85806203205281,0.277988504508082,-6.68395276035162,2.3258180712318e-11,5.6012240518587e-09,Down
ENSAMXG00000019631,119.192550747642,-1.67060838328787,0.250241730529417,-6.67597838199688,2.45588171899882e-11,5.82346229768136e-09,Down
ENSAMXG00000003267,264.729766235071,1.41900881119344,0.212784083401277,6.6687732865687,2.57950361024537e-11,6.02392259768362e-09,Up
ENSAMXG00000004705,137.633518190328,1.41577798486853,0.213119772243292,6.64310950582432,3.071334738498e-11,7.06544512305517e-09,Up
ENSAMXG00000017759,553.604803382642,-1.40827231231177,0.212473156235518,-6.62800109558667,3.40262946114485e-11,7.71245998303317e-09,Down
ENSAMXG00000006184,1068.67947488989,1.41772072197893,0.214486013769134,6.60985160321417,3.84705465633527e-11,8.47066477401364e-09,Up
ENSAMXG00000027480,30.3747865076248,-2.84763521807722,0.430686996216926,-6.61184396810286,3.79561960718685e-11,8.47066477401364e-09,Down
ENSAMXG00000000670,15.0927584371818,-7.14728871241836,1.08603269368504,-6.58109903502699,4.66983387921957e-11,1.0137485856396e-08,Down
ENSAMXG00000020804,651.942958939873,-1.41930771841473,0.215874162386938,-6.57469936522892,4.87515685927742e-11,1.04362212044504e-08,Down
ENSAMXG00000007010,154.672824121516,-2.206872386037,0.336943334541542,-6.54968405604389,5.76589375451455e-11,1.21739343066209e-08,Down
ENSAMXG00000010634,56.5192878805697,-4.17316458841723,0.638652732185831,-6.53432511614614,6.38970084472557e-11,1.33087106918588e-08,Down
ENSAMXG00000004979,29.3721393790639,-3.65589198914147,0.559885060711597,-6.5297187685182,6.58933000603676e-11,1.35415124510726e-08,Down
ENSAMXG00000015252,48.824813673819,-2.04715809800959,0.313673895644458,-6.5263897520181,6.73738659955673e-11,1.36635973235484e-08,Down
ENSAMXG00000006609,73.2293801616341,-2.69928566701737,0.413902587459229,-6.52154818259807,6.95853603444523e-11,1.39288202466109e-08,Down
ENSAMXG00000000715,67.6005143187578,-2.10236180626643,0.324324232001003,-6.48228408125832,9.03443247831073e-11,1.78522702292568e-08,Down
ENSAMXG00000013665,52.3852144928259,-2.61114875214516,0.403481436731377,-6.47154618387949,9.70050987573361e-11,1.89258175588205e-08,Down
ENSAMXG00000011549,128.074535068607,2.2767868611875,0.352604835206897,6.45704946119516,1.06764011928091e-10,2.03154779734279e-08,Up
ENSAMXG00000017884,137.244770438193,-1.61647988771241,0.250295556253501,-6.45828440547792,1.05896588628372e-10,2.03154779734279e-08,Down
