,CHOY.16.01,CHOY.16.04,CHOY.16.05,CHOY.16.08,CHOY.16.11,CHOY.16.12,CHOY.16.R.01,CHOY.16.R.03,CHOY.16.R.04,CHOY.16.R.05,CHOY.16.R.2
ENSAMXG00000000037,7.02398467770808,6.73439254627012,6.71567947155096,7.36232007956165,6.91939636673671,6.93550021583941,7.62228207409581,7.55279482919024,7.4487568012835,7.670324871792,7.5635834075195
ENSAMXG00000000039,6.22278715927057,6.64123733411985,5.57604768444611,7.00001505561162,5.57604768444611,5.57604768444611,5.57604768444611,6.20223783479096,5.57604768444611,5.57604768444611,6.09687163689493
ENSAMXG00000000040,6.92118651009446,7.18705143676187,6.92426302194278,6.95041867454101,7.15031452878105,6.84654828864698,6.23770326483285,6.62545211334837,6.39697876751564,6.13105618398725,6.46873844397947
ENSAMXG00000000043,9.34506531369225,9.80318774895511,10.1845655771689,9.96445076440668,10.4377384861649,9.77134723381957,8.59751900680609,9.20107386495153,9.21678687316206,9.49638154450705,9.37713348787705
ENSAMXG00000000044,6.22278715927057,6.39267429149786,6.54607466196636,7.1193874617075,6.62226715773995,5.57604768444611,5.96027489330167,6.04439533487308,5.57604768444611,6.29960650741396,6.44432939118653
ENSAMXG00000000046,7.05041605523822,6.95621022064129,7.53127506020798,6.73697477208218,7.22604065132133,6.9831554008493,6.97527467786917,7.36434399378635,7.0386087684778,6.77222484755515,7.22207705240272
ENSAMXG00000000047,8.14115363443026,7.7599959944594,8.06144449143541,7.8403744432844,8.32531140653205,7.68161762049582,7.91185386702779,7.43038833593403,7.48678619640953,7.53317981685274,7.82518425912701
ENSAMXG00000000050,5.57604768444611,6.51498695323415,6.11429112646709,5.57604768444611,6.64380405309226,6.21935291569364,6.3607854258607,5.57604768444611,6.18600525478088,6.29960650741396,6.30871153386529
ENSAMXG00000000052,7.24957311298381,7.66906569550307,6.23338757857848,6.40771186694482,6.23908764157315,6.15880199831984,5.57604768444611,6.20223783479096,7.02022743954684,6.54758893718865,7.64616195882099
ENSAMXG00000000053,6.62710211393929,6.69823553562955,6.52236705692108,6.80936218663138,6.53042571508031,7.03992318743018,5.57604768444611,6.54449577252177,6.23407630958193,6.26939406564582,6.3379642155599
ENSAMXG00000000055,7.02398467770808,7.7599959944594,7.83031520443254,8.23088971084026,8.16425724368914,8.31666240187425,7.68051174414322,8.03458735762877,8.36368637880693,7.94535847319317,8.28175409851738
