"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000024959",194.017559064255,-1.5657021371768,0.253874639049076,-6.16722545836547,6.9498632272088e-10,9.65330162038103e-08
"ENSAMXG00000000765",291.508191500246,-1.38315115922669,0.225032343003407,-6.14645495294756,7.92338112184097e-10,1.08898713281025e-07
"ENSAMXG00000007263",206.086633334805,-1.78844349321909,0.291067957347872,-6.14441901992537,8.02567217901055e-10,1.08898713281025e-07
"ENSAMXG00000003863",1478.9787252473,1.18378315968245,0.192667403490186,6.14417975349293,8.03777785727211e-10,1.08898713281025e-07
"ENSAMXG00000015606",288.001113832806,-1.19498241018472,0.194690337551057,-6.13786192584588,8.36395074750649e-10,1.12396538134581e-07
"ENSAMXG00000020288",290.072650328341,1.55256708632701,0.253601409733514,6.12207592993453,9.23639870970857e-10,1.23119705058688e-07
"ENSAMXG00000021474",521.886555279724,-1.08423412339791,0.177163452498096,-6.11996497082016,9.35959304521501e-10,1.23763770755487e-07
"ENSAMXG00000016952",227.661712680891,1.96994693703402,0.322340252392078,6.1113898199654,9.87671807760743e-10,1.29565296114899e-07
"ENSAMXG00000007274",549.547632222602,-2.04429696068938,0.334795062139368,-6.10611443199357,1.02085828740566e-09,1.32864304193135e-07
"ENSAMXG00000019967",3131.5281289138,-1.10216944595491,0.180572309375766,-6.10375671532961,1.03603948013439e-09,1.33786691930792e-07
"ENSAMXG00000020813",741.4661618634,1.12949662434354,0.185133207954072,6.10099418049164,1.05410746593359e-09,1.35064669026483e-07
"ENSAMXG00000013839",11.7387818627417,-6.78614920219758,1.11388422658361,-6.09232902328762,1.11279670327437e-09,1.41487820834016e-07
"ENSAMXG00000015393",140.526591057955,-1.55428063349611,0.255263872430619,-6.08891739632508,1.13676748690719e-09,1.43432288481594e-07
"ENSAMXG00000010768",304.678638286288,-1.3296906484067,0.218934733420874,-6.07345681349949,1.25185677516801e-09,1.56757126036e-07
"ENSAMXG00000013170",586.272156556798,1.31479777575527,0.216664856165449,6.06834813464751,1.29232535552372e-09,1.60607863168808e-07
"ENSAMXG00000016887",198.796617461709,-1.40620264785924,0.231900826946094,-6.0638104071363,1.32933848405282e-09,1.6397489405156e-07
"ENSAMXG00000028829",1163.13132809884,13.885349891949,2.29074230389463,6.06150673008556,1.34852244370286e-09,1.65109092384922e-07
"ENSAMXG00000008602",95.2356632290532,-1.35230650026373,0.223309239519067,-6.05575704425015,1.39758806991042e-09,1.69858332408451e-07
"ENSAMXG00000013792",85.9688828936989,-1.85287353295775,0.307211937178967,-6.03125500256311,1.62691229617311e-09,1.96286374769675e-07
"ENSAMXG00000005028",322.742562538992,0.877675369872981,0.145594561292214,6.0282153542223,1.65780057440761e-09,1.98563664452053e-07
"ENSAMXG00000012454",42.9546486794671,-1.84376355048614,0.306235252451311,-6.0207423401696,1.73618947355972e-09,2.0645666049258e-07
"ENSAMXG00000025935",26.0605884672917,-3.38830321986023,0.563752411720535,-6.01026824793415,1.85216603906862e-09,2.17559005626027e-07
"ENSAMXG00000020291",335.729541953851,2.11576043568581,0.352043309395229,6.00994360415612,1.85587874603847e-09,2.17559005626027e-07
"ENSAMXG00000005890",5998.45394335596,-1.09976888930521,0.183029634759897,-6.00869302256937,1.87024859499787e-09,2.17699570610702e-07
"ENSAMXG00000016066",11.6765545645696,-6.7819881012217,1.12932616074356,-6.00534047378869,1.90930811727589e-09,2.20691985108064e-07
