gene_id,CHOY-16-01,CHOY-16-04,CHOY-16-05,CHOY-16-08,CHOY-16-11,CHOY-16-12,CHOY-16-R-01,CHOY-16-R-03,CHOY-16-R-04,CHOY-16-R-05,CHOY-16-R-2
ENSAMXG00000000090,0,11,0,11,0,17,0,0,0,0,0
ENSAMXG00000000091,7,0,0,5,0,0,0,0,0,0,0
ENSAMXG00000000092,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000093,161,292,226,55,138,291,160,79,99,141,88
ENSAMXG00000000094,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000095,277,59,91,260,102,74,187,121,105,169,173
ENSAMXG00000000096,0,0,0,7,4,0,13,14,6,0,0
ENSAMXG00000000097,1449,798,829,1980,1519,850,734,1145,767,1114,599
ENSAMXG00000000098,20,41,0,8,0,0,12,16,21,7,17
ENSAMXG00000000099,4,7,9,7,8,0,7,10,14,17,24
ENSAMXG00000000100,0,7,7,17,0,0,0,0,0,0,0
ENSAMXG00000000101,53,54,41,52,53,37,40,31,18,40,34
ENSAMXG00000000102,4,10,0,19,0,22,5,0,0,0,0
ENSAMXG00000000103,220,167,136,331,247,216,363,399,177,507,226
ENSAMXG00000000104,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000105,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000106,11117,2423,3224,15128,2426,3461,11773,2273,2283,2804,5950
ENSAMXG00000000107,0,10,0,6,0,0,0,0,0,10,0
ENSAMXG00000000108,0,0,4,5,0,0,0,0,0,0,0
ENSAMXG00000000109,1111,460,602,604,461,566,917,415,266,468,418
ENSAMXG00000000110,375,73,168,174,124,241,126,88,56,123,75
ENSAMXG00000000111,46,20,12,13,21,4,9,25,24,46,0
ENSAMXG00000000112,73,42,103,105,59,69,55,67,38,82,79
ENSAMXG00000000113,699,319,402,576,388,470,588,533,296,461,458
ENSAMXG00000000114,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000115,1116,507,334,460,808,866,994,670,689,1597,753
ENSAMXG00000000116,0,0,0,6,0,0,0,5,0,0,0
ENSAMXG00000000117,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000118,33,39,19,17,0,0,0,5,0,0,0
ENSAMXG00000000119,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000120,789,393,484,334,343,413,638,275,291,398,331
ENSAMXG00000000121,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000122,477,181,168,130,193,287,217,164,165,221,193
ENSAMXG00000000123,19,7,0,27,7,7,42,0,0,22,33
ENSAMXG00000000124,2550,1358,1302,1811,1175,1632,2457,1852,1247,1852,1889
ENSAMXG00000000125,673,463,353,922,662,593,827,580,367,962,732
ENSAMXG00000000126,708,590,511,1177,500,406,505,835,456,510,396
ENSAMXG00000000127,54,46,32,11,0,0,15,0,0,0,44
ENSAMXG00000000128,0,0,0,0,0,2,0,0,0,0,0
ENSAMXG00000000129,141,99,98,149,72,101,68,138,54,90,78
ENSAMXG00000000130,504,274,312,385,275,364,459,467,328,530,295
ENSAMXG00000000131,250,262,84,288,140,328,183,131,75,147,188
ENSAMXG00000000132,0,0,0,11,0,0,4,0,0,3,0
ENSAMXG00000000133,21,9,20,19,7,17,7,18,9,0,18
ENSAMXG00000000134,591,263,252,467,288,397,473,348,257,398,392
ENSAMXG00000000135,917,621,745,1313,588,1048,1984,1303,932,1020,1339
ENSAMXG00000000136,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000137,123409,107484,100956,82373,111887,143541,92976,101057,76981,81143,100238
ENSAMXG00000000138,74,81,23,107,26,7,12,0,0,20,0
ENSAMXG00000000139,129,42,100,155,49,33,24,70,52,94,105
ENSAMXG00000000140,426,379,476,756,530,353,101,274,120,151,99
ENSAMXG00000000141,11,9,8,32,0,24,0,3,0,0,0
ENSAMXG00000000142,74,97,49,142,29,88,39,39,19,26,16
ENSAMXG00000000143,88,54,44,106,76,97,34,77,32,55,44
ENSAMXG00000000144,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000145,202,312,153,397,124,63,154,119,89,83,65
ENSAMXG00000000146,0,23,6,97,37,26,16,14,36,41,31
ENSAMXG00000000147,37,7,22,18,5,25,8,5,12,4,27
ENSAMXG00000000148,0,0,0,0,3,0,0,3,0,0,0
ENSAMXG00000000149,211,71,89,233,135,179,148,138,107,222,127
ENSAMXG00000000150,24,29,70,115,9,59,8,40,17,0,21
ENSAMXG00000000151,0,0,0,7,0,0,7,0,0,11,0
ENSAMXG00000000152,79,20,29,87,27,52,51,48,26,72,50
ENSAMXG00000000153,929,638,508,742,284,760,597,475,335,471,451
ENSAMXG00000000154,208,59,55,189,55,44,341,162,92,158,188
ENSAMXG00000000155,72,31,78,68,23,52,75,39,25,59,11
ENSAMXG00000000156,390,198,209,223,208,254,154,76,42,60,96
ENSAMXG00000000157,218,74,54,97,45,83,154,88,56,61,93
ENSAMXG00000000158,0,7825,4345,0,0,25633,27470,15897,0,16333,0
ENSAMXG00000000159,8,11,0,44,0,7,0,0,2,0,8
ENSAMXG00000000160,68,32,34,123,45,40,32,49,5,33,16
ENSAMXG00000000161,266,207,202,213,164,351,355,262,166,316,312
ENSAMXG00000000162,548,364,194,192,269,328,435,298,243,395,201
ENSAMXG00000000163,124,77,113,150,83,49,68,88,45,55,95
ENSAMXG00000000164,62,75,46,174,72,128,15,26,0,11,17
ENSAMXG00000000165,49,48,49,81,46,60,65,49,63,76,96
ENSAMXG00000000166,193,127,142,129,122,168,215,238,114,214,127
ENSAMXG00000000167,2991,2092,2442,605,2210,10046,3036,2357,0,2483,2351
ENSAMXG00000000168,0,6,0,0,0,0,0,0,0,0,0
ENSAMXG00000000169,1194,651,959,717,903,924,814,867,751,765,904
ENSAMXG00000000170,63,58,9,27,31,32,26,10,0,12,0
ENSAMXG00000000171,1121,1121,922,2778,1331,833,965,832,772,548,1132
ENSAMXG00000000172,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000173,340,307,452,225,427,414,259,250,258,235,191
ENSAMXG00000000174,7,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000175,553,428,195,369,412,518,314,216,306,434,247
ENSAMXG00000000176,124,124,110,411,100,136,133,293,130,199,146
ENSAMXG00000000177,85,23,23,30,10,7,23,11,0,0,15
ENSAMXG00000000178,837,482,454,572,449,624,649,700,465,585,523
ENSAMXG00000000179,706,491,706,1477,715,599,1019,878,422,654,1069
ENSAMXG00000000180,6,5,0,8,2,3,8,8,7,7,6
ENSAMXG00000000181,134,109,34,108,71,77,128,35,25,69,89
ENSAMXG00000000182,100,73,82,95,119,82,45,60,30,66,42
ENSAMXG00000000183,90,146,39,141,110,60,11,21,19,40,22
ENSAMXG00000000184,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000185,415,308,174,375,195,300,276,220,141,184,235
ENSAMXG00000000186,11,31,24,42,16,49,40,0,25,35,17
ENSAMXG00000000187,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000188,129,40,34,88,65,43,63,82,37,52,82
ENSAMXG00000000189,10,12,23,21,0,11,0,0,0,0,7
ENSAMXG00000000190,0,7,0,0,0,0,0,0,0,0,0
ENSAMXG00000000191,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000192,173,137,106,137,99,137,131,127,123,206,120
ENSAMXG00000000193,352,277,481,333,379,579,249,230,223,357,194
ENSAMXG00000000194,2155,3,1056,1501,945,1567,1371,1193,888,1256,5
ENSAMXG00000000195,868,437,498,597,329,387,308,401,217,347,269
ENSAMXG00000000196,5873,5417,5380,220,302,6750,3821,360,6431,316,842
ENSAMXG00000000197,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000198,1059,379,322,1084,427,312,857,976,609,829,756
ENSAMXG00000000199,64,47,64,169,40,35,163,158,47,78,79
ENSAMXG00000000200,25,0,10,16,0,11,17,24,0,30,0
ENSAMXG00000000201,860,763,510,615,844,877,806,718,698,844,966
ENSAMXG00000000202,337,283,188,507,173,462,435,374,376,418,460
ENSAMXG00000000203,0,0,0,1,0,0,0,0,0,0,0
ENSAMXG00000000204,13,33,11,24,12,22,8,10,0,6,9
ENSAMXG00000000205,2136,849,909,1126,698,870,1347,965,695,756,924
ENSAMXG00000000206,384,168,217,236,158,205,182,85,98,127,81
ENSAMXG00000000207,192,43,52,109,60,27,143,121,72,86,147
ENSAMXG00000000208,1813,1243,1546,1922,1040,1965,2248,1048,844,975,1281
ENSAMXG00000000209,4307,1482,2376,2565,1902,1967,2230,2195,1201,1574,1151
ENSAMXG00000000210,157,60,114,74,85,135,159,98,42,119,72
ENSAMXG00000000211,31,11,26,47,20,6,6,16,0,12,7
ENSAMXG00000000212,82,54,53,58,58,59,76,47,26,32,47
ENSAMXG00000000213,38,20,21,34,0,16,52,27,17,37,19
ENSAMXG00000000214,17,10,8,0,15,13,12,12,14,19,9
ENSAMXG00000000215,206,98,140,299,142,125,281,162,165,203,147
ENSAMXG00000000216,913,488,910,1097,901,696,570,988,537,917,555
ENSAMXG00000000217,33,0,14,13,0,0,0,0,0,0,5
